ID;NAME;Designator;Footprint;Quantity
1;SMD 0805 CERAMIC CAPACITOR 0.1µF;C3,C4;C0805;2
2;TH ALUMINUM ELECTROLYTIC CAPACITOR 1000µF;C5;CAP-D8.0×F3.5;1
3;M7 DIODE SMA (DO-214AC);D1,D2,D3,D4;SMA (DO-214AC);4
4;CONNECTOR PIN HEADER 2.54 MM 2 PIN MALE;H1;HDR-M-2.54_1X2;1
5;CONNECTOR PIN HEADER 2.54 MM 2 PIN MALE;H2;HDR-M-2.54_1X2;1
6;CONNECTOR PIN HEADER 2.54 MM 2 PIN MALE;J1,J2,J3;HDR-M-2.54_1X2;3
7;TH RED LED WITH 3MM DIAMETER;LED1;LED-TH_BD3.0_RED;1
8;TH GREEN LED WITH 3MM DIAMETER;LED2;LED-TH_BD3.0_GREEN;1
9;HEADER 2.54 MM 2x3 PIN MALE;P2;IDC-TH_6P-P2.54_C11214;1
10;IRF3205PBF MOSFET TRANSISTOR TO-220-3;Q1,Q2;TO-220-3_L10.0-W4.5-P2.54-L;2
11;IRF5305PBF MOSFET TRANSISTOR TO-220-3;Q3,Q4;TO-220-3_L10.0-W4.5-P2.54-T;2
12;2N7000 MOSFET TRANSISTOR TO-92-3;Q5,Q6;TO-92-3_L4.9-W3.7-P1.27-L;2
13;SMD 0805 RESISTOR 10KΩ;R1,R2,R3,R4,R5,R6, R9;R0805;7
14;SMD 0805 RESISTOR 1KΩ;R7,R8;R0805;2
15;MICROCONTROLLER ATMEGA328P-PU;U1;DIP-28_L34.6-W7.3-P2.54-LS10.2-BL;1
16;CONNECTOR PIN HEADER 2.54 MM 6 PIN FEMALE;U2;HDR-F-2.54_1X6;1
17;CRYSTAL OSCILLATOR HC-49US 14.7456MHz;X1;HC-49US_L11.5-W4.5-P4.88;1
18;SMD 0805 CERAMIC CAPACITOR 22 pF;C1,C2;C0805;2
